imports,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,508.3609985,577.4639991,697.7609998,648.8519955,646.416004,630.2280026,711.5560079,743.1180005,642.5130046,650.0679955,629.2129932,640.7209797,529.0519864,631.9279825,586.1164147,596.008385,581.4124208,649.0674873,575.9269074,562.3189992,627.9828366,592.0061024,760,804,562,632,524,627,599
Armenia,0,0,2.4999996,2.4999996,2.599999,30.6370019,54.2140017,58.7520024,104.3300021,115.9420054,135.7949997,182,183,179,211,198,171,188,212,184,201,191,188,207,194,201,207,207,205
Aruba,16.2219997,4.9940003,1.5448254,5.3028306,7.3861654,7.0549815,5.3215095,5.1691695,5.1708161,15.3416415,11.5339993,13.1089979,10.9849986,11.893604,10.084952,10.57356,11.752508,11.184032,8.568184,3.4550839,1.8211407,1.6374038,2,2,4,5,3,5,8
Asia & Oceania,4611.367044,5063.490178,5995.911911,5819.21695,6015.431712,5571.564789,5777.073315,6042.124632,6032.947772,6332.271386,6813.461932,7967,8278,7758,9036,9040,9099,10056,10250,10564,11931,13143,14175,14668,15438,16702,17296,19840,20290
Australia,745.9059995,788.9779996,850.7320001,802.0130014,843.7929991,808.0929881,844.5679992,898.5679877,928.5739792,976.6139893,921.4200017,898,1121,1004,1004,1200,1174,1197,1279,1362,1514,1564,1766,1667,1681,1920,1881,2078,2071
Azerbaijan,0,0,2.0000004,2.0000004,4.3710005,0.7250017,1.3260014,0.7590013,0.1340001,1.5420008,1.1500015,2,1,2,10,19,2,3,4,4,6,8,12,12,11,13,16,19,31
Bahamas,8.3570038,8.5040004,7.5600014,8.2460055,15.6170023,13.3050003,11.8170003,9.4779986,6.189525,6.2467401,13.1992638,14.9059338,12.2895821,17.3906436,15.785765,12.8917129,12.1437725,11.6578403,17.8248717,13.7393238,14.4505987,10.3116042,15,14,13,17,13,11,7
Bahrain,7.2100068,8.2570025,10.5720084,7.7270021,4.7650063,6.1920013,5.1050023,5.0040015,6.8750008,5.6910066,5.86,7,6,7,11,12,13,16,13,9,10,12,9,15,31,22,21,27,33
Bangladesh,0.0380006,0.1329994,0.2680013,1.3229994,0.572004,4.2860034,1.2790047,1.3359999,9.9989992,2.7449997,3.1139997,11,4,6,7,5,6,9,11,7,7,12,9,9,16,19,23,91,116
Barbados,3.5100049,3.4340037,3.257,2.5710025,3.8959999,4.9879989,6.783996,5.8780004,8.569005,6.8590038,6.940999,7.8920004,10.1209981,9.0789999,10.8839977,4.9659644,4.7113881,4.360269,4.5127885,5.1670238,4.7824164,4.1753202,5,5,5,6,5,5,7
Belarus,0,0,5.4999991,9.9999996,30,64.2210044,28.2640014,79.7389971,14.0340029,12.1709999,26.5239968,28.3769975,32.2389974,64.2709964,92.7231093,163.2438156,210.8968642,257.6437595,290.904968,170.6071482,179.8581931,158.4058792,201,200,257,259,275,333,383
Belize,4.5220018,4.8620005,5.4190033,5.4840051,5.6110028,9.6040006,9.6170002,14.7899983,10.7270048,7.4480045,13.4989992,9.1529986,11.0559987,1.301,1.87,0.6485306,3.3790872,2.2738767,1.5938967,1.8134186,2.4098974,2.407705,4,6,9,14,14,16,23
Bermuda,4.0580013,4.5609998,4.5830005,4.1340009,4.1170004,3.9666748,6.6333348,4.0500148,4.0500148,4.6333548,4.6333348,4.6333348,8.0098255,0.9789854,1.2764855,1.9404855,2.7933347,1.3645578,1.4862064,2.3157641,2.6715654,4.4968741,4,6,10,8,5,5,5
Bosnia and Herzegovina,0,0,36.6000011,42.7000013,18.8500005,16.450001,21.7860007,20.04,314.4820036,84.3650002,64.8039983,114.1589983,182.8989973,401.4747566,394.6882425,367.9234883,410.8004389,410.0797781,407.6622407,342.3373356,316.9790092,373.2707886,397,409,392,408,405,391,403
Botswana,12.9740017,11.5360014,18.0990014,22.0700006,20.4249987,9.2490018,26.4270028,13.2610014,29.5370006,37.4280014,20.736,17,18,35,34,35,18,13,33,24,22,23,31,22,21,33,23,21,6
Brunei Darussalam,8.4280024,10.1330113,7.9350091,10.5390118,8.6600081,16.0530087,20.0140021,29.0280045,19.5920108,12.2280061,18.1579979,14,22,24,21,21,26,38,31,34,37,46,47,47,46,59,57,45,62
Burkina Faso,5.5340021,7.0539981,1.8930026,7.0710053,8.430995,13.1249946,11.4190037,12.0100048,16.3450003,22.1849986,13.8419978,11,15,32,26,21,5,33,21,38,60,70,65,78,83,128,92,107,241
Cambodia,0,0,0.433316,0.433316,6.800024,3.9,1.404,1.203316,0.989976,2.250024,1.4605527,1,1,1,2,3,3,2,2,2,5,47,95,58,25,24,36,98,118
Canada,2253.478009,2356.146011,2271.012016,2488.917017,2827.129984,2509.892992,2763.455994,2863.888989,3410.340996,3315.161004,3321.066997,3376.947983,3199.324965,2984.94679,3508.854447,3588.623495,3809.037208,3902.241761,3805.383994,3896.478076,4365.799131,4542.108753,4444,4520,4981,4698,4873,5098,5114
Cape Verde,1.6700001,7.1190003,17.5000007,9.9680017,8.0260006,12.5909996,13.0530015,7.7060008,8.7420022,9.2259974,9.7999992,10,9,11,14,11,11,10,11,11,11,11,12,12,11,11,12,14,14
Caribbean,47.7843487,57.5910175,39.0571508,44.7246606,62.1224962,44.7292997,52.2423444,45.3696461,144.7336571,217.1812518,178.4560804,120.7901661,157.0780774,129.9869037,148.1320082,155.0443394,98.8760944,91.784185,151.6601704,196.7954683,202.9282953,152.9063427,216,203,243,237,223,164,169
Cayman Islands,0.2550006,0.4780003,0.3850012,0.2560014,0.2540003,0.3740015,0.2670011,0.2980002,1.9260006,0.2320007,0.306,0.2720008,0.571,2.0230002,0.39,0.173316,0.303316,0.173316,0.65,0.866684,1.95,1.95,2,2,3,3,4,13,12
Central America & Mexico,8.5800031,9.4230003,10.0020038,9.618006,9.7280032,13.5706754,16.250335,18.8400131,14.7770196,12.0813593,18.132334,13.7863334,19.0658242,2.2799854,3.1464855,2.5890161,6.1724219,3.6384345,3.0801031,4.1291827,5.0814628,6.9045791,8,12,18,22,19,21,28
Chad,0.2000004,0.2000004,0.2000004,0.2000004,2.4059987,1.4421746,1.781684,1.0533254,0.26,0.26,1.516684,0,0,5,2,4,4,4,4,4,4,0,0,0,0,1,1,3,12
Chile,115.6400025,133.9580008,203.9300013,187.1550035,153.7269991,200.1260028,248.2250001,224.6120036,198.3100023,176.6170056,244.9359938,275.844994,239.1099965,256.7109966,257.2850525,266.5219846,267.6488385,285.9965182,315.3516661,232.2197748,384.1979427,305.4918464,264,320,347,348,352,376,392
"China, People's Republic of",188.384001,249.0119931,302.9749871,227.3049967,229.244984,154.0530048,365.4030008,204.8170073,232.0690019,237.7761829,238.6224023,297,313,360,397,425,505,535,592,618,784,1066,1397,1234,1540,1518,2087,2585,2226
