imports,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Samoa,1.0400021,0.3924906,0.4721654,0.6864854,0.102816,0.0793254,0.6330146,0.043316,0.1163306,0.13,0.0798014,0,0,0,0,0,0,0,3,3,5,4,7,9,12,14,16,14,20
Sao Tome and Principe,0,0.0019992,0.0050006,0.0189995,0.0100015,0.0070001,0.0380001,0.0150016,0.0100017,0.0419995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,275.0530106,343.1240019,231.8720041,144.2319991,106.9359991,290.5890066,281.1200026,214.7260014,343.9040019,364.853011,412.7469918,389,454,474,566,596,644,758,831,854,955,1030,1215,1332,1383,1684,1371,1532,1246
Senegal,63.1690032,53.4719995,54.8610057,34.446004,10.1100012,20.194948,11.1859983,26.7929479,33.1244484,35.9620902,33.7099962,39,41,57,35,46,50,44,40,54,33,43,41,50,58,84,157,161,153
Serbia,0,0,482.7580043,0,0,0,179.7740006,307.4090017,466.8200045,451.2000051,644.1300013,672.4359983,747.3009982,772.8429998,859.9020841,653.1156035,613.1361182,619.835134,690.0643937,577.5527516,555.9935159,585.0792926,605,580,594,511,611,576,550
Seychelles,0.4190006,0.3169989,0.6989996,0.7650014,0.8330042,0.8930014,0.7490043,1.0670015,0.4969151,0.6976436,1.0063016,0,1,1,1,1,1,1,10,9,13,2,1,1,2,4,4,4,4
Singapore,1214.441999,1099.472,1552.274999,1614.575,1770.216998,1041.061,862.1190006,1100.197,697.9910021,869.6700021,944.1509265,1052,1119,991,1393,1264,1015,879,767,582,624,644,761,681,767,874,681,699,807
Solomon Islands,0.3400008,0.2779995,0.16666,0.16666,0.16666,0.16666,0.16666,2.41666,2.1,2.1,2.1,0,1,0,3,4,8,11,11,10,10,5,10,2,7,10,3,2,1
Somalia,8.0000004,0.0310003,0.2709993,0.1449984,0.0519996,0.2800006,0,0.0090012,0,0.444,0.346684,0,2,1,1,4,2,1,2,0,0,1,2,2,0,2,1,1,2
"South Africa, Rep.of",286.4969987,281.8810006,337.6010044,402.9320041,344.6450075,324.1200035,327.9540001,322.9799995,351.4170243,333.8993778,412.7790371,337,370,402,436,477,567,465,574,417,593,573,542,546,635,693,644,712,756
South America,668.199002,748.6149977,950.163006,872.0280009,843.5800065,877.3310117,1009.530012,1019.85101,899.8290072,878.4270045,928.9939833,984.4599678,818.3959801,946.3282551,911.3376052,929.2465178,911.8218769,1007.948519,963.1795816,867.0111984,1090.079133,976.4843516,1099,1202,986,1056,946,1070,1061
Sudan,55.5010008,130.3019974,103.3329996,69.7670004,71.967,80.3330004,106.617,100.3473587,135.7161524,160.590493,128.5101334,178,224,119,390,399,363,501,579,565,660,572,412,796,690,594,641,305,705
Suriname,1.9370001,7.0019999,2.9280037,3.7080012,3.4590034,8.0550023,7.6900016,10.143003,11.1769982,6.6520009,12.1329984,10.8169986,8.9079997,9.8401356,17.3123973,13.5001534,14.3289602,14.4321587,17.0478195,16.6537479,16.2051029,15.900255,15,19,18,16,15,10,14
Switzerland,1171,1130,1101,1060,1099,1017,1112,971,1112,1139,1171,1255,1217,1322,1236,1641,1503,1823,1978,2101,2318,2498,2478,2667,2643,2748,2816,2904,3086.018913
Syrian Arab Republic,26.25,166.0760004,180.8340005,228.9680035,185.3840004,200.0400011,218.5669981,209.490007,268.2409994,276.7880018,221.3109974,641,450,208,344,408,266,594,347,725,501,605,478,437,463,423,403,460,460
Taiwan,146.0630029,183.8690002,173.4719962,156.7210035,212.8770111,166.4309969,209.5160051,253.9440112,268.2190023,318.0869979,402.1509605,443,478,491,361,325,295,358,319,360,453,470,476,557,583,667,698,851,789
Tonga,0.1449986,0.2500008,0.2220031,0.3019987,0.4160021,0.1950014,0.428004,0.2310031,0.3210007,0.3650023,0.8373201,1,1,1,0,1,1,3,1,2,2,2,2,2,1,1,1,1,1
Tunisia,101,90,111,101,137,137,144,165,147,186,192,233,236,123,264,190,209,253,318,289,304,429,439,439,460,459,466,546,532.966563
Turkey,140.3720053,164.5920074,171.2720018,219.6220065,142.3920007,201.0129989,251.8499992,252.9830082,295.810002,268.0270088,291.637228,294,363,372,411,472,509,530,500,534,625,656,723,842,987,1249,1192,1474,1464
Ukraine,0,0,23.4,13.866684,83.259976,185.190024,269.20666,170.653344,135.6896851,265.9600028,184.235317,232.756316,443.282262,650.7510258,744.2672641,1032.530688,988.9466514,1084.621251,1828.960633,1541.071974,1588.246825,1371.741136,1294,1403,1291,1155,1184,1147,1338
United Arab Emirates,79.2689997,93.7570008,116.5480052,102.9150026,93.7030148,114.9690083,137.796001,124.8539961,174.6530117,160.4130138,189.2080206,246.8269935,241.2719898,224.7929765,299.0169901,356.7207345,317.6859632,324.1408718,319.9347069,345.3927122,296.1447724,349.9362792,369,468,463,530,606,845,1118
Uruguay,42.2610009,30.1909979,45.5440012,32.3130007,39.978,38.922004,42.0590019,41.9780028,47.8290021,45.0900025,42.7119979,57.0769955,41.3259975,47.8491404,50.6237407,53.2159948,48.4316574,58.4523549,54.8531886,55.8186765,61.6932503,63.0861478,60,60,59,60,55,56,57
USA,21007,19840,22939,19329,16171,17107,19445,20343,21030,22746,23767,21415,21639,22760,23184,23042,23709,24219,24277,23578,24378,26093,26056,27016,27565,27708,28838,29487.88646,28918.20706
USSR,2099.183011,1086.817005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0.4109974,0.2690028,0.5780011,0.3520033,0.4540018,0.3179994,0.4170006,0.5297723,0.2105663,0.2914403,0.9195149,0.3942921,0.4189446,1.9189997,0.3579997,0.9888965,0.385505,1.3357493,1.2717905,0.8057419,1.5675066,1.5580063,1,2,2,1,2,4,6
Virgin Islands (UK),0.0409999,0.0210026,0,0.0300021,0.0019992,0.0120007,0.0480013,0.0410011,1.9630034,0.0170023,1.0349998,0.9340083,0,0.0079928,0.0219952,0.0149742,0.0180087,0.3800004,0.006,0.53898,2.7499939,0.2329943,0,0,0,0,0,0,0
Yugoslavia,1033.507,638.3750027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
